Unemployment,Income inequality,FIPS,Air pollution - particulate matter,State,Population that is not proficient in English
0.115,,6113,7.94,CA,0.081
0.094,5.44,6113,7.94,CA,0.079
0.169,,6115,8.7,CA,0.063
0.14,4.058,6115,8.7,CA,0.056
0.092,,8001,13.48,CO,0.077
0.075,3.792,8001,13.48,CO,0.074
0.091,,8003,12.45,CO,0.018
0.082,5.798,8003,12.45,CO,0.024
0.078,,8005,13.39,CO,0.049
0.065,4.382,8005,13.39,CO,0.045
0.094,,8007,11.46,CO,0.004
0.079,4.074,8007,11.46,CO,0.002
0.04,,8009,12.97,CO,0.005
0.037,4.654,8009,12.97,CO,0.005
0.085,,8011,13.57,CO,0.037
0.077,4.667,8011,13.57,CO,0.038
0.061,,8013,13.44,CO,0.031
0.052,5.177,8013,13.44,CO,0.028
0.071,,8014,,CO,0.02
0.061,4.041,8014,,CO,0.021
0.071,,8015,12.07,CO,0.013
0.062,3.668,8015,12.07,CO,0.012
0.039,,8017,13.63,CO,0.013
0.035,3.463,8017,13.63,CO,0.013
0.074,,8019,12.99,CO,0.004
0.063,4.434,8019,12.99,CO,0.005
0.099,,8021,11.88,CO,0.019
0.101,5.08,8021,11.88,CO,0.024
0.127,,8023,12.29,CO,0.068
0.122,4.984,8023,12.29,CO,0.061
0.102,,8025,13.43,CO,0.045
0.091,4.409,8025,13.43,CO,0.042
0.069,,8027,12.64,CO,0.0
0.069,4.48,8027,12.64,CO,0.0
0.085,,8029,11.51,CO,0.017
0.075,4.82,8029,11.51,CO,0.016
0.085,,8031,13.26,CO,0.07
0.07,5.422,8031,13.26,CO,0.067
0.095,,8033,10.34,CO,0.0
0.076,4.781,8033,10.34,CO,0.0
0.064,,8035,12.94,CO,0.011
0.054,3.282,8035,12.94,CO,0.01
0.081,,8037,12.57,CO,0.096
0.066,3.816,8037,12.57,CO,0.087
0.093,,8041,13.06,CO,0.018
0.08,4.326,8041,13.06,CO,0.018
0.072,,8039,13.35,CO,0.004
0.058,3.324,8039,13.35,CO,0.006
0.101,,8043,12.55,CO,0.027
0.09,4.22,8043,12.55,CO,0.029
0.08,,8045,12.29,CO,0.073
0.068,3.742,8045,12.29,CO,0.069
0.065,,8047,13.18,CO,0.003
0.057,4.056,8047,13.18,CO,0.0
0.076,,8049,13.37,CO,0.013
0.059,3.249,8049,13.37,CO,0.014
0.066,,8051,11.68,CO,0.015
0.059,4.212,8051,11.68,CO,0.017
0.122,,8055,12.82,CO,0.014
0.113,4.418,8055,12.82,CO,0.012
0.076,,8059,13.02,CO,0.014
0.063,4.112,8059,13.02,CO,0.013
0.039,4.674,8061,13.55,CO,0.002
0.047,,8063,13.67,CO,0.036
0.042,4.341,8063,13.67,CO,0.031
0.066,,8067,10.76,CO,0.008
0.055,4.12,8067,10.76,CO,0.007
0.1,,8065,12.12,CO,0.057
0.084,3.978,8065,12.12,CO,0.061
0.064,,8069,13.76,CO,0.014
0.054,4.563,8069,13.76,CO,0.013
0.107,,8071,12.9,CO,0.017
0.099,5.076,8071,12.9,CO,0.018
0.053,,8073,13.65,CO,0.056
0.048,5.237,8073,13.65,CO,0.05
0.066,,8075,13.6,CO,0.023
0.056,4.351,8075,13.6,CO,0.019
0.092,,8077,11.57,CO,0.013
0.081,4.382,8077,11.57,CO,0.013
0.077,,8081,13.18,CO,0.03
0.062,4.531,8081,13.18,CO,0.026
0.085,,8083,9.97,CO,0.008
0.076,4.517,8083,9.97,CO,0.007
0.105,,8085,11.08,CO,0.037
0.093,4.249,8085,11.08,CO,0.029
0.066,,8087,13.64,CO,0.077
0.063,3.78,8087,13.64,CO,0.071
0.095,,8089,13.39,CO,0.021
0.088,4.601,8089,13.39,CO,0.022
0.071,,8091,11.25,CO,0.005
0.055,3.395,8091,11.25,CO,0.004
0.075,,8093,12.43,CO,0.003
0.065,3.951,8093,12.43,CO,0.002
0.049,,8095,13.37,CO,0.082
0.041,4.258,8095,13.37,CO,0.075
0.074,,8097,11.87,CO,0.022
0.065,4.32,8097,11.87,CO,0.015
0.065,,8099,13.29,CO,0.039
0.057,5.585,8099,13.29,CO,0.051
0.107,,8101,13.05,CO,0.016
0.096,4.743,8101,13.05,CO,0.017
0.06,,8103,12.66,CO,0.031
0.054,3.678,8103,12.66,CO,0.039
0.094,,8105,12.24,CO,0.028
0.087,4.092,8105,12.24,CO,0.031
0.073,,8107,13.64,CO,0.005
0.058,3.862,8107,13.64,CO,0.006
0.104,,8109,12.18,CO,0.068
0.104,4.274,8109,12.18,CO,0.063
0.075,,8113,10.65,CO,0.03
0.063,3.847,8113,10.65,CO,0.022
0.049,,8115,13.4,CO,0.018
0.043,4.755,8115,13.4,CO,0.008
0.072,,8117,12.79,CO,0.046
0.058,3.388,8117,12.79,CO,0.031
0.081,,8119,12.68,CO,0.002
0.077,3.867,8119,12.68,CO,0.0
0.047,,8121,13.67,CO,0.01
0.045,4.176,8121,13.67,CO,0.009
0.087,,8123,13.66,CO,0.042
0.071,4.384,8123,13.66,CO,0.04
0.04,,8125,13.48,CO,0.061
0.037,3.84,8125,13.48,CO,0.059
0.076,,9001,10.64,CT,0.06
0.071,5.759,9001,10.64,CT,0.061
0.087,,9003,10.53,CT,0.046
0.081,5.05,9003,10.53,CT,0.045
0.077,,9005,10.72,CT,0.012
0.072,4.104,9005,10.72,CT,0.014
0.071,,9007,10.32,CT,0.013
0.067,4.3,9007,10.32,CT,0.012
0.092,,9009,10.46,CT,0.036
0.086,5.169,9009,10.46,CT,0.036
0.085,,9011,10.27,CT,0.025
0.079,4.167,9011,10.27,CT,0.028
0.072,,9013,10.47,CT,0.007
0.067,3.782,9013,10.47,CT,0.007
0.095,,9015,10.41,CT,0.024
0.087,4.48,9015,10.41,CT,0.025
0.083,6.948,11001,12.65,DC,0.019
0.076,,10001,11.91,DE,0.014
0.069,4.078,10001,11.91,DE,0.014
0.07,,10003,11.94,DE,0.023
0.067,4.484,10003,11.94,DE,0.024
0.07,,10005,11.84,DE,0.029
0.067,4.08,10005,11.84,DE,0.032
0.066,,12001,11.62,FL,0.014
0.054,6.295,12001,11.62,FL,0.013
0.078,,12003,12.01,FL,0.002
0.067,4.232,12003,12.01,FL,0.001
0.083,,12005,12.44,FL,0.009
0.068,4.05,12005,12.44,FL,0.01
0.072,,12007,11.78,FL,0.006
0.057,4.542,12007,11.78,FL,0.006
0.092,,12009,10.68,FL,0.013
0.079,4.401,12009,10.68,FL,0.013
0.074,,12011,10.71,FL,0.072
0.061,4.849,12011,10.71,FL,0.072
0.081,,12013,12.29,FL,0.023
0.068,4.054,12013,12.29,FL,0.016
0.088,,12015,10.54,FL,0.011
0.072,3.873,12015,10.54,FL,0.011
0.098,,12017,11.31,FL,0.007
0.084,4.131,12017,11.31,FL,0.006
0.076,,12019,11.76,FL,0.015
0.063,3.776,12019,11.76,FL,0.014
0.085,,12021,10.55,FL,0.104
0.069,4.425,12021,10.55,FL,0.101
0.081,,12023,11.93,FL,0.008
0.067,4.265,12023,11.93,FL,0.007
0.092,,12027,10.62,FL,0.124
0.076,3.8,12027,10.62,FL,0.124
0.109,,12029,11.67,FL,0.007
0.089,3.765,12029,11.67,FL,0.006
0.088,,12031,12.02,FL,0.022
0.074,4.621,12031,12.02,FL,0.023
0.084,,12033,13.03,FL,0.011
0.073,4.513,12033,13.03,FL,0.01
0.116,,12035,11.35,FL,0.026
0.102,3.99,12035,11.35,FL,0.029
0.067,,12037,12.12,FL,0.013
0.057,5.876,12037,12.12,FL,0.011
0.091,,12039,12.1,FL,0.021
0.076,5.487,12039,12.1,FL,0.024
0.08,,12041,11.68,FL,0.008
0.068,5.351,12041,11.68,FL,0.009
0.091,,12043,10.57,FL,0.087
0.079,3.941,12043,10.57,FL,0.055
0.085,,12045,12.29,FL,0.005
0.07,4.549,12045,12.29,FL,0.006
0.103,,12047,12.03,FL,0.025
0.088,4.828,12047,12.03,FL,0.02
0.092,,12049,10.7,FL,0.168
0.081,4.489,12049,10.7,FL,0.161
0.137,,12051,10.54,FL,0.168
0.115,4.717,12051,10.54,FL,0.167
0.109,,12053,11.18,FL,0.015
0.09,3.932,12053,11.18,FL,0.015
0.093,,12055,10.62,FL,0.044
0.083,3.876,12055,10.62,FL,0.049
0.085,,12057,10.94,FL,0.054
0.07,4.788,12057,10.94,FL,0.054
0.071,,12059,12.51,FL,0.003
0.061,4.764,12059,12.51,FL,0.003
0.106,,12061,10.56,FL,0.033
0.091,4.689,12061,10.56,FL,0.03
0.071,,12063,12.33,FL,0.013
0.059,4.754,12063,12.33,FL,0.016
0.079,,12065,11.92,FL,0.009
0.062,4.977,12065,11.92,FL,0.007
